project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner,type
iCarousel,1,1,1,1,5,125,29,1,1,0,1,1,1,0.0,Objective-C,6,Framework ou Biblioteca (Não-web),User,Nonreceptive
CocoaLumberjack,5,1,1,5,15,119,23,4,1,0,1,1,1,1333,Objective-C,6,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
WebViewJavascriptBridge,2,1,1,2,8,130,27,7,1,0,1,1,1,0.0,Objective-C,6,Framework ou Biblioteca (Não-web),User,Nonreceptive
DZNEmptyDataSet,3,1,1,3,14,230,32,4,1,0,1,1,1,0.0,Objective-C,3,Framework ou Biblioteca (Não-web),User,Nonreceptive
CocoaAsyncSocket,2,1,2,2,5,129,33,4,0,0,1,1,1,1.0,Objective-C,6,Framework ou Biblioteca (Não-web),User,Nonreceptive
PNChart,3,1,1,3,12,187,36,2,1,0,1,1,1,0.0,Objective-C,4,Framework ou Biblioteca (Não-web),User,Nonreceptive
VVDocumenter-Xcode,2,1,1,2,8,165,32,1,1,0,1,1,1,0.0,Objective-C,4,Ferramenta,User,Nonreceptive
FLEX,2,1,1,2,15,210,22,2,1,1,1,1,1,1.0,Objective-C,3,Ferramenta,Organization,Nonreceptive
bitbar,8,1,4,11,35,186,9,4,1,0,0,1,1,1.0,Objective-C,4,Ferramenta,User,Nonreceptive
spectacle,1,1,1,1,14,96,6,2,1,1,0,1,1,0.0,Objective-C,7,Framework ou Biblioteca (Web),User,Nonreceptive
Shimmer,1,1,1,1,3,184,23,2,1,1,1,1,1,0.0,Objective-C,3,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
UITableView-FDTemplateLayoutCell,1,1,1,1,9,269,58,2,1,0,1,1,1,0.0,Objective-C,2,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
postgrest,10,1,2,8,33,283,12,3,1,1,1,1,1,1333,Haskell,3,Framework ou Biblioteca (Web),User,Nonreceptive
pandoc,9,1,2,8,72,104,13,11,1,1,1,1,1,1167,Haskell,7,Framework ou Biblioteca (Não-web),User,Nonreceptive
shellcheck,2,1,1,1,15,157,9,2,1,0,1,1,1,1333,Haskell,5,Ferramenta,User,Nonreceptive
elm-compiler,9,1,3,7,67,65,4,3,1,0,0,1,1,1.0,Haskell,5,Ferramenta,Organization,Nonreceptive
Haxl,2,1,2,2,6,70,6,1,0,0,1,1,1,1.0,Haskell,3,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
write-you-a-haskell,3,1,1,3,14,55,4,14,1,0,1,1,1,0.0,Haskell,2,Sem categoria,User,Nonreceptive
yesod,7,1,1,5,44,18,4,5,1,0,1,1,1,1.2,Haskell,8,Sem categoria,Organization,Nonreceptive
ghcjs,2,1,1,2,16,22,2,9,0,0,1,1,1,1.0,Haskell,7,Sem categoria,Organization,Nonreceptive
corrode,3,1,1,3,34,97,6,4,1,1,0,1,1,0.0,Haskell,1,Sem categoria,User,Nonreceptive
hakyll,3,1,1,3,18,18,3,4,0,0,1,1,1,1.0,Haskell,8,Sem categoria,User,Nonreceptive
IHaskell,5,1,2,4,31,31,3,6,1,0,1,1,1,1.0,Haskell,4,Sem categoria,User,Nonreceptive
gitit,2,1,1,2,16,14,2,9,0,0,1,1,1,0.0,Haskell,9,Sem categoria,User,Nonreceptive
lamdu,1,1,1,1,97,22,1,4,1,0,1,1,1,1.0,Haskell,6,Sem categoria,Organization,Nonreceptive
HLearn,1,1,2,1,19,22,2,8,1,0,1,1,1,0.0,Haskell,5,Sem categoria,User,Nonreceptive
haste-compiler,2,0,1,1,27,19,2,10,1,0,1,1,1,0.0,Haskell,5,Sem categoria,User,Nonreceptive
unison,3,0,1,3,33,40,2,5,1,0,1,1,1,0.0,Haskell,2,Sem categoria,Organization,Nonreceptive
fay,4,0,2,2,20,18,2,3,1,0,1,1,1,1.0,Haskell,5,Sem categoria,Organization,Nonreceptive
lens,5,1,1,4,63,19,3,2,0,0,1,1,1,1.25,Haskell,5,Sem categoria,User,Nonreceptive
yi,5,1,2,4,42,15,2,4,1,0,1,1,1,1333,Haskell,6,Sem categoria,Organization,Nonreceptive
scotty,2,1,1,1,7,18,2,2,1,0,1,1,1,1.0,Haskell,6,Sem categoria,Organization,Nonreceptive
Carp,6,1,3,5,76,52,2,4,1,0,1,1,1,0.0,Haskell,1,Sem categoria,Organization,Nonreceptive
wiwinwlh,4,1,1,3,21,30,4,12,1,0,0,1,0,1.0,Haskell,3,Sem categoria,User,Nonreceptive
zsh-git-prompt,1,1,1,1,6,12,3,3,1,0,0,1,1,0.0,Haskell,7,Sem categoria,User,Nonreceptive
grenade,2,1,1,2,13,55,3,3,1,0,1,1,1,1.0,Haskell,1,Sem categoria,User,Nonreceptive
lantern,16,1,3,15,92,444,119,19,1,0,1,1,1,0.0,Go,6,Aplicação,Organization,Nonreceptive
gogs,27,1,8,20,111,476,55,6,1,0,1,0,1,1.2,Go,3,Ferramenta,Organization,Nonreceptive
syncthing,33,1,19,20,95,372,31,7,1,1,1,1,1,1.0,Go,4,Ferramenta,Organization,Nonreceptive
gin,10,1,4,8,26,297,34,3,1,1,0,0,1,1444,Go,3,Framework ou Biblioteca (Web),Organization,Nonreceptive
hub,6,1,3,5,28,123,11,6,1,1,0,1,1,1.2,Go,8,Ferramenta,Organization,Nonreceptive
ngrok,1,1,1,1,11,206,31,4,1,0,0,1,1,0.0,Go,4,Ferramenta,User,Nonreceptive
cayley,8,1,3,7,30,262,22,9,1,0,0,1,1,1.0,Go,3,Sistema,Organization,Nonreceptive
nsq,9,1,2,8,28,161,21,7,1,1,0,0,1,1.0,Go,5,Sistema,Organization,Nonreceptive
fzf,4,1,2,3,30,213,9,5,1,0,1,0,1,1286,Go,4,Ferramenta,User,Nonreceptive
martini,5,0,2,5,18,205,21,1,1,0,0,1,1,0.0,Go,4,Framework ou Biblioteca (Web),Organization,Nonreceptive
revel,8,1,4,6,23,125,17,4,1,1,1,1,1,0.0,Go,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
websocketd,2,1,1,2,7,160,8,3,1,0,1,1,1,0.0,Go,4,Ferramenta,User,Nonreceptive
cowboy,5,1,3,4,20,54,10,3,0,0,0,0,1,0.0,Erlang,6,Sistema,Organization,Nonreceptive
couchdb,9,1,5,5,93,32,6,10,0,1,0,1,1,1.0,Erlang,8,Sistema,Organization,Nonreceptive
ejabberd,6,1,2,6,33,34,10,9,1,0,1,1,1,1.0,Erlang,7,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
rabbitmq-server,12,1,2,14,149,38,10,5,1,1,0,1,1,1.5,Erlang,7,Sistema,Organization,Nonreceptive
emqttd,9,1,1,9,58,43,11,2,1,0,1,1,1,0.0,Erlang,5,Sem categoria,Organization,Nonreceptive
ChicagoBoss,5,1,2,4,20,17,3,7,1,0,1,1,1,0.0,Erlang,8,Sem categoria,Organization,Nonreceptive
theBeamBook,10,0,0,10,22,262,22,8,1,0,1,1,1,1.0,Erlang,0,Sem categoria,User,Nonreceptive
mochiweb,1,1,1,1,6,17,4,4,1,0,1,1,1,1.0,Erlang,7,Sem categoria,Organization,Nonreceptive
lfe,3,1,1,2,10,15,1,5,1,0,1,1,1,0.0,Erlang,9,Sem categoria,User,Nonreceptive
disco,5,1,1,6,43,13,2,8,1,0,1,1,1,0.0,Erlang,9,Sem categoria,Organization,Nonreceptive
webmachine,3,1,2,2,7,15,3,5,1,0,1,1,1,0.0,Erlang,7,Sem categoria,Organization,Nonreceptive
tsung,2,1,1,2,12,15,4,8,1,0,0,1,1,1.0,Erlang,7,Sem categoria,Organization,Nonreceptive
rebar,7,1,7,2,26,12,3,3,1,1,0,1,0,0.0,Erlang,5,Sem categoria,Organization,Nonreceptive
n2o,5,0,1,4,34,19,3,5,1,0,1,1,1,1.0,Erlang,4,Sem categoria,Organization,Nonreceptive
leofs,3,1,1,3,20,18,2,7,1,0,1,1,1,0.0,Erlang,5,Sem categoria,Organization,Nonreceptive
yaws,2,0,1,1,13,9,2,14,1,0,1,1,1,1.0,Erlang,8,Sem categoria,User,Nonreceptive
vernemq,6,2,1,6,37,35,3,6,0,0,1,1,1,1.0,Erlang,2,Sem categoria,Organization,Nonreceptive
actordb,1,0,0,1,13,22,2,5,1,0,1,1,1,1.0,Erlang,3,Sem categoria,Organization,Nonreceptive
poolboy,1,1,1,1,5,12,2,2,1,0,1,1,1,0.0,Erlang,7,Sem categoria,User,Nonreceptive
rebar,7,1,7,2,26,12,3,3,1,1,0,1,0,0.0,Erlang,5,Sem categoria,Organization,Nonreceptive
lager,3,0,2,3,12,12,4,3,1,0,1,1,1,0.0,Erlang,6,Sem categoria,Organization,Nonreceptive
riak_core,9,1,2,7,23,10,3,2,1,0,1,1,1,0.0,Erlang,7,Sem categoria,Organization,Nonreceptive
nitrogen,2,1,1,2,12,8,1,9,0,0,1,1,1,1.0,Erlang,9,Sem categoria,Organization,Nonreceptive
alpaca,8,1,1,8,40,51,2,2,1,0,1,1,1,1.0,Erlang,1,Sem categoria,Organization,Nonreceptive
logplex,3,1,1,2,30,11,1,4,1,0,1,1,1,0.0,Erlang,7,Sem categoria,Organization,Nonreceptive
reia,1,0,0,1,37,7,1,3,1,0,1,1,1,0.0,Erlang,9,Sem categoria,User,Nonreceptive
gproc,1,1,1,1,4,8,2,2,1,0,1,1,1,0.0,Erlang,7,Sem categoria,User,Nonreceptive
legacy-homebrew,460,0,470,3,717,285,133,3,1,0,0,0,1,0.0,Ruby,8,Ferramenta,Organization,Nonreceptive
awesome-awesomeness,7,0,11,8,11,503,62,1,1,1,0,1,1,1.0,Ruby,3,Documentação,User,Nonreceptive
devise,12,2,5,7,36,182,41,2,1,1,1,1,1,0.0,Ruby,8,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
huginn,17,2,3,13,52,309,33,6,1,0,1,1,1,1286,Ruby,4,Ferramenta,Organization,Nonreceptive
ruby,20,3,18,2,215,141,35,22,1,1,0,0,0,0.0,Ruby,7,Sistema,Organization,Nonreceptive
bootstrap-sass,5,1,3,3,18,169,43,5,1,1,0,1,1,0.0,Ruby,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
diaspora,38,2,16,23,218,134,32,6,1,1,1,1,1,1333,Ruby,7,Aplicação,Organization,Nonreceptive
sass,5,1,3,3,49,122,22,4,1,1,0,1,1,1.0,Ruby,7,Ferramenta,Organization,Nonreceptive
capistrano,9,1,3,7,28,94,13,3,1,1,0,1,1,1167,Ruby,8,Ferramenta,Organization,Nonreceptive
CocoaPods,15,2,4,12,94,132,24,2,1,1,1,1,1,1167,Ruby,6,Ferramenta,Organization,Nonreceptive
sinatra,8,1,3,6,33,91,14,6,1,1,0,1,1,1.4,Ruby,8,Framework ou Biblioteca (Web),Organization,Nonreceptive
octopress,13,2,9,5,14,99,31,4,0,0,1,1,1,0.0,Ruby,8,Aplicação,User,Nonreceptive
paperclip,9,2,6,3,16,77,15,3,1,1,1,1,1,0.0,Ruby,9,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
grape,11,1,3,7,23,94,11,1,1,1,0,1,1,1.0,Ruby,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
laravel,36,0,23,13,72,462,149,4,0,0,0,1,0,1444,PHP,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
CodeIgniter,35,1,19,16,72,203,93,8,0,0,1,1,1,1167,PHP,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
DesignPatternsPHP,4,1,1,3,14,217,44,6,1,0,1,1,1,1.0,PHP,6,Documentação,User,Nonreceptive
Faker,13,2,5,8,30,162,24,2,0,1,0,1,1,1286,PHP,6,Framework ou Biblioteca (Web),User,Nonreceptive
yii2,107,5,41,62,222,164,108,9,1,0,1,0,1,1.5,PHP,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
guzzle,10,1,3,7,40,125,20,3,1,0,0,1,1,1.0,PHP,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
WordPress,4,1,5,0,213,139,75,3,0,0,0,1,0,1.0,PHP,6,Aplicação,Organization,Nonreceptive
PHPMailer,4,1,2,3,17,131,67,2,1,0,1,1,1,1333,PHP,6,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
PHPExcel,6,2,4,2,17,143,48,2,1,0,1,1,1,0.0,PHP,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
phabricator,4,0,2,4,179,109,14,9,1,0,0,1,0,0.0,PHP,6,Documentação,Organization,Nonreceptive
sage,11,1,4,7,26,107,31,4,1,0,1,1,1,1333,PHP,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
Slim,12,2,6,9,40,98,19,2,1,1,1,1,1,1.0,PHP,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
koel,9,1,4,6,53,372,37,6,1,0,1,1,1,0.0,PHP,2,Aplicação,User,Nonreceptive
piwik,39,3,7,35,201,101,19,11,1,1,1,0,1,1.5,PHP,6,Ferramenta,Organization,Nonreceptive
Mobile-Detect,3,1,1,2,11,116,31,1,1,0,1,1,1,1.0,PHP,5,Framework ou Biblioteca (Web),User,Nonreceptive
SecLists,2,2,2,5,7,129,51,6,1,0,1,1,1,0.0,PHP,5,Documentação,User,Nonreceptive
Cachet,35,2,6,28,137,199,22,4,1,1,0,0,1,1333,PHP,3,Ferramenta,Organization,Nonreceptive
api,7,2,3,6,32,154,22,1,0,1,1,1,1,0.0,PHP,3,Framework ou Biblioteca (Web),Organization,Nonreceptive
paperwork,10,3,2,10,35,155,16,7,1,0,1,1,1,0.0,PHP,3,Aplicação,Organization,Nonreceptive
Carbon,11,3,4,13,25,104,13,1,0,0,1,1,1,0.0,PHP,5,Framework ou Biblioteca (Web),User,Nonreceptive
