project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner,type
glide,4,1,2,3,31,350,69,2,1,1,1,1,1,1429,Java,4,Ferramenta,Organization,Nonreceptive
leakcanary,8,1,3,9,20,581,95,2,1,0,1,0,1,1.0,Java,2,Ferramenta,Organization,Nonreceptive
spring-framework,20,2,16,2,137,199,150,17,1,1,1,0,0,1.25,Java,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
EventBus,1,1,1,2,10,258,61,2,1,1,1,1,1,0.0,Java,5,Framework ou Biblioteca (Não-web),User,Nonreceptive
Android-Universal-Image-Loader,2,1,2,1,20,220,92,1,1,0,1,1,1,0.0,Java,6,Framework ou Biblioteca (Não-web),User,Nonreceptive
lottie-android,12,1,2,11,54,1579,282,2,1,0,0,1,1,1.25,Java,1,Sem categoria,Organization,Nonreceptive
iosched,3,1,2,3,44,354,123,5,1,1,0,1,1,0.0,Java,3,Aplicação,Organization,Nonreceptive
picasso,8,1,3,6,19,268,67,4,1,1,0,0,1,1.0,Java,4,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
fresco,8,1,6,4,54,434,109,8,1,1,1,1,1,1444,Java,2,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
AndroidUtilCode,5,1,3,3,35,877,276,1,1,0,1,1,1,1.5,Java,1,Documentação,User,Nonreceptive
PhotoView,2,0,2,1,10,180,49,1,1,0,0,1,1,1.0,Java,5,Framework ou Biblioteca (Não-web),User,Nonreceptive
material-dialogs,5,1,2,4,43,318,60,1,1,0,0,1,1,1333,Java,3,Framework ou Biblioteca (Web),User,Nonreceptive
Hystrix,12,2,2,12,34,187,37,6,1,1,1,1,1,1.0,Java,5,Ferramenta,Organization,Nonreceptive
dubbo,3,2,3,3,49,184,124,7,1,0,1,1,1,1.5,Java,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
SlidingMenu,3,1,2,2,17,167,86,2,1,0,1,1,1,0.0,Java,5,Framework ou Biblioteca (Não-web),User,Nonreceptive
LightTable,8,1,3,6,26,157,15,5,1,1,1,1,1,0.0,Clojure,5,Ferramenta,Organization,Nonreceptive
om,5,1,2,6,45,136,7,4,1,0,1,1,1,1.0,Clojure,4,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
leiningen,8,1,2,7,46,58,13,6,1,1,1,0,1,1.25,Clojure,8,Ferramenta,User,Nonreceptive
overtone,2,1,2,3,39,45,4,2,1,0,1,1,1,1.5,Clojure,7,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
icepick,1,0,1,1,8,67,4,2,1,0,1,1,1,0.0,Clojure,4,Framework ou Biblioteca (Não-web),User,Nonreceptive
riemann,7,1,2,6,25,51,6,4,0,0,0,1,1,1.0,Clojure,5,Ferramenta,Organization,Nonreceptive
compojure,1,1,1,1,12,29,2,2,1,0,1,1,1,0.0,Clojure,9,Framework ou Biblioteca (Web),User,Nonreceptive
clojure-koans,2,0,1,1,5,34,19,4,1,0,1,1,1,0.0,Clojure,7,Documentação,Organization,Nonreceptive
mori,3,1,1,4,16,47,2,5,1,0,1,1,1,0.0,Clojure,5,Framework ou Biblioteca (Web),User,Nonreceptive
reagent,1,1,1,1,20,59,4,5,1,1,1,1,1,1.0,Clojure,4,Framework ou Biblioteca (Web),Organization,Nonreceptive
